Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	ALS_4_T1_1 Spectral Count	ALS_4_T2_2 Spectral Count	ALS_4_T3_3 Spectral Count	ALS_4_T4_4 Spectral Count	ALS_4_T1_1 Unique Spectral Count	ALS_4_T2_2 Unique Spectral Count	ALS_4_T3_3 Unique Spectral Count	ALS_4_T4_4 Unique Spectral Count	ALS_4_T1_1 Total Spectral Count	ALS_4_T2_2 Total Spectral Count	ALS_4_T3_3 Total Spectral Count	ALS_4_T4_4 Total Spectral Count	ALS_4_T1_1 Intensity	ALS_4_T2_2 Intensity	ALS_4_T3_3 Intensity	ALS_4_T4_4 Intensity	ALS_4_T1_1 MaxLFQ Intensity	ALS_4_T2_2 MaxLFQ Intensity	ALS_4_T3_3 MaxLFQ Intensity	ALS_4_T4_4 MaxLFQ Intensity	Indistinguishable Proteins
sp|P00738|HPT_HUMAN	P00738	HPT_HUMAN	HP	406	Homo sapiens	1:Experimental evidence at protein level	Haptoglobin	1.0	0.999	19	77	39	77	21	19	17	20	11	10	8	10	21	19	17	20	1.7070736E8	1.83769488E8	1.60057024E8	1.99461408E8	7.656368E7	7.7369096E7	4.7709992E7	8.9861552E7	
sp|P00742|FA10_HUMAN	P00742	FA10_HUMAN	F10	488	Homo sapiens	1:Experimental evidence at protein level	Coagulation factor X	0.6436	0.9835	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P00746|CFAD_HUMAN	P00746	CFAD_HUMAN	CFD	253	Homo sapiens	1:Experimental evidence at protein level	Complement factor D	1.0	0.999	5	16	16	16	5	3	1	7	5	3	1	7	5	3	1	7	6979265.0	4389386.0	5054886.0	9107269.0	2971889.8	2043613.0	2807747.0	3303765.8	
sp|P00747|PLMN_HUMAN	P00747	PLMN_HUMAN	PLG	810	Homo sapiens	1:Experimental evidence at protein level	Plasminogen	1.0	0.999	11	43	36	43	10	12	8	13	8	10	7	11	10	12	8	13	3.2895048E7	2.5452652E7	3.2794612E7	3.599674E7	1.7326914E7	1.6437345E7	1.5536408E7	1.995064E7	
sp|P00748|FA12_HUMAN	P00748	FA12_HUMAN	F12	615	Homo sapiens	1:Experimental evidence at protein level	Coagulation factor XII	1.0	0.999	4	14	14	14	3	4	3	4	3	4	3	4	3	4	3	4	6414662.0	4840473.5	6219760.5	7458374.5	2601813.2	2064456.9	2635607.2	2946256.8	
sp|P00751|CFAB_HUMAN	P00751	CFAB_HUMAN	CFB	764	Homo sapiens	1:Experimental evidence at protein level	Complement factor B	1.0	0.999	25	89	89	89	21	24	17	27	21	24	17	27	21	24	17	27	3.3514784E7	3.208926E7	3.2384706E7	4.0221448E7	1.3985694E7	1.4800861E7	1.0464354E7	1.8021692E7	
sp|P01008|ANT3_HUMAN	P01008	ANT3_HUMAN	SERPINC1	464	Homo sapiens	1:Experimental evidence at protein level	Antithrombin-III	1.0	0.999	22	100	100	100	24	25	24	27	24	25	24	27	24	25	24	27	3.3882152E7	3.6067192E7	2.9788684E7	4.177176E7	1.1675028E7	1.580611E7	1.8936092E7	1.6194623E7	
sp|P01009|A1AT_HUMAN	P01009	A1AT_HUMAN	SERPINA1	418	Homo sapiens	1:Experimental evidence at protein level	Alpha-1-antitrypsin	1.0	0.999	33	200	197	200	48	53	48	51	47	52	48	50	48	53	48	51	7.5492762E8	6.6881235E8	7.5595488E8	1.00448102E9	2.72071744E8	3.36480352E8	3.00994464E8	3.78948736E8	
sp|P01011|AACT_HUMAN	P01011	AACT_HUMAN	SERPINA3	423	Homo sapiens	1:Experimental evidence at protein level	Alpha-1-antichymotrypsin	1.0	0.999	18	95	95	95	22	23	24	26	22	23	24	26	22	23	24	26	1.21029296E8	1.228408E8	1.33739168E8	1.71193904E8	5.1329172E7	5.142114E7	5.9692364E7	6.9700416E7	
sp|P01019|ANGT_HUMAN	P01019	ANGT_HUMAN	AGT	476	Homo sapiens	1:Experimental evidence at protein level	Angiotensinogen	1.0	0.999	16	86	86	86	21	21	21	23	21	21	21	23	21	21	21	23	1.72577008E8	1.62436608E8	1.99133952E8	1.68572688E8	7.3747944E7	6.5085668E7	7.3505272E7	7.1179304E7	
sp|P01023|A2MG_HUMAN	P01023	A2MG_HUMAN	A2M	1474	Homo sapiens	1:Experimental evidence at protein level	Alpha-2-macroglobulin	1.0	0.999	50	237	206	237	60	58	57	62	53	50	49	54	60	58	57	62	7.509028E7	5.2818104E7	7.8420912E7	9.2059328E7	2.8773674E7	2.8656486E7	3.1136012E7	2.8302828E7	
sp|P01024|CO3_HUMAN	P01024	CO3_HUMAN	C3	1663	Homo sapiens	1:Experimental evidence at protein level	Complement C3	1.0	0.999	91	458	458	458	117	116	112	113	117	116	112	113	117	116	112	113	1.79749584E8	1.45481904E8	1.8472504E8	1.70439504E8	7.1299008E7	7.5112096E7	8.972712E7	7.1988072E7	
sp|P01031|CO5_HUMAN	P01031	CO5_HUMAN	C5	1676	Homo sapiens	1:Experimental evidence at protein level	Complement C5	1.0	0.9989	30	68	68	68	19	14	12	23	19	14	12	23	19	14	12	23	3863695.0	2750055.0	4723598.0	4441691.0	1708103.5	1489635.2	2092926.1	2003522.2	
sp|P01033|TIMP1_HUMAN	P01033	TIMP1_HUMAN	TIMP1	207	Homo sapiens	1:Experimental evidence at protein level	Metalloproteinase inhibitor 1	1.0	0.9986	2	8	8	8	2	2	2	2	2	2	2	2	2	2	2	2	6068587.0	5670604.0	6643194.0	6389090.0	4972349.5	4250422.0	4783516.0	4732504.0	
sp|P01034|CYTC_HUMAN	P01034	CYTC_HUMAN	CST3	146	Homo sapiens	1:Experimental evidence at protein level	Cystatin-C	1.0	0.999	7	48	48	48	13	12	12	11	13	12	12	11	13	12	12	11	3.44388416E8	2.82532224E8	6.1493165E8	7.0543738E8	2.6458192E8	2.704008E8	3.19075904E8	2.40836048E8	
sp|P01042|KNG1_HUMAN	P01042	KNG1_HUMAN	KNG1	644	Homo sapiens	1:Experimental evidence at protein level	Kininogen-1	1.0	0.999	9	35	35	35	10	9	8	8	10	9	8	8	10	9	8	8	5.0364456E7	4.6986384E7	5.4792804E7	5.3656736E7	2.0446012E7	2.2165356E7	2.4685324E7	2.254023E7	
sp|P01127|PDGFB_HUMAN	P01127	PDGFB_HUMAN	PDGFB	241	Homo sapiens	1:Experimental evidence at protein level	Platelet-derived growth factor subunit B	1.0	0.9962	1	3	3	3	2	0	0	1	2	0	0	1	2	0	0	1	1015656.9	1109421.2	896571.8	607681.7	711756.6	786304.8	563990.4	0.0	
sp|P01210|PENK_HUMAN	P01210	PENK_HUMAN	PENK	267	Homo sapiens	1:Experimental evidence at protein level	Proenkephalin-A	1.0	0.999	4	13	13	13	4	3	3	3	4	3	3	3	4	3	3	3	1.4394215E7	1.4655707E7	1.1820199E7	1.2034337E7	6415849.5	6156840.5	6267760.0	5177161.0	
sp|P01303|NPY_HUMAN	P01303	NPY_HUMAN	NPY	97	Homo sapiens	1:Experimental evidence at protein level	Pro-neuropeptide Y	1.0	0.9986	2	7	7	7	2	2	1	2	2	2	1	2	2	2	1	2	2153159.8	1647678.0	2365649.5	2472981.5	1261476.1	1134089.4	876086.06	1512411.8	
sp|P01344|IGF2_HUMAN	P01344	IGF2_HUMAN	IGF2	180	Homo sapiens	1:Experimental evidence at protein level	Insulin-like growth factor II	0.9185	0.9973	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	855677.6	749363.25	1292345.1	872634.7	0.0	0.0	0.0	0.0	
sp|P01591|IGJ_HUMAN	P01591	IGJ_HUMAN	JCHAIN	159	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin J chain	0.9679	0.999	1	1	1	1	0	1	0	0	0	1	0	0	0	1	0	0	987947.75	1090420.9	583038.0	951543.4	0.0	0.0	0.0	0.0	
sp|P01593|KVD33_HUMAN	P01593	KVD33_HUMAN	IGKV1D-33	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 1D-33	0.9679	0.999	1	3	0	3	1	1	1	0	0	0	0	0	1	1	1	0	1532761.1	1471847.9	2198445.2	1890733.1	0.0	0.0	0.0	0.0	sp|P01594|KV133_HUMAN
sp|P01597|KV139_HUMAN	P01597	KV139_HUMAN	IGKV1-39	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 1-39	1.0	0.999	2	2	0	2	0	0	0	2	0	0	0	0	0	0	0	2	2149171.0	2574109.5	4845129.5	3122845.8	1797508.6	1871595.0	3208061.8	2246351.8	sp|P04432|KVD39_HUMAN
sp|P01602|KV105_HUMAN	P01602	KV105_HUMAN	IGKV1-5	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 1-5	0.8891	0.9962	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	2250404.8	2060239.6	1110376.0	2210013.8	0.0	0.0	0.0	0.0	
sp|P01619|KV320_HUMAN	P01619	KV320_HUMAN	IGKV3-20	116	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 3-20	0.9998	0.999	2	8	4	8	2	2	2	2	1	1	1	1	2	2	2	2	2.6774664E7	1.775725E7	3.1272794E7	2.0325058E7	2.5706284E7	1.9321482E7	2.8683538E7	1.8405456E7	
sp|P01700|LV147_HUMAN	P01700	LV147_HUMAN	IGLV1-47	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 1-47	1.0	0.999	2	7	4	7	2	2	1	2	1	1	1	1	2	2	1	2	5535053.5	5733787.0	8484928.0	6146442.5	3764866.2	4232897.0	5882072.0	4174289.0	
sp|P01701|LV151_HUMAN	P01701	LV151_HUMAN	IGLV1-51	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 1-51	0.9998	0.993	2	6	6	6	2	2	1	1	2	2	1	1	2	2	1	1	6157340.0	5940649.0	2769208.5	2260392.5	3816206.5	3607937.8	1618199.5	0.0	
sp|P01721|LV657_HUMAN	P01721	LV657_HUMAN	IGLV6-57	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 6-57	0.8388	0.9942	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	687598.5	828073.56	1301119.9	415166.06	0.0	0.0	0.0	0.0	
sp|P01768|HV330_HUMAN	P01768	HV330_HUMAN	IGHV3-30	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy variable 3-30	1.0	0.9988	3	8	0	8	2	1	3	2	0	0	0	0	2	1	3	2	1.5846362E7	9690868.0	1.8776764E7	1.6060103E7	9237328.0	7438598.0	7758813.0	9866552.0	sp|P01772|HV333_HUMAN, sp|P0DP02|HVC33_HUMAN, sp|P0DP03|HVC05_HUMAN
sp|P01834|IGKC_HUMAN	P01834	IGKC_HUMAN	IGKC	107	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa constant	1.0	0.999	6	23	23	23	6	6	6	5	6	6	6	5	6	6	6	5	2.90070688E8	4.78610336E8	6.0739155E8	4.73844704E8	1.9668264E8	2.09987936E8	3.15045888E8	2.47635888E8	
sp|P01857|IGHG1_HUMAN	P01857	IGHG1_HUMAN	IGHG1	399	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy constant gamma 1	1.0	0.999	9	44	20	44	11	11	11	11	5	5	5	5	11	11	11	11	8.8271418E8	5.1146688E8	8.7907878E8	8.5681869E8	3.5950784E8	2.74026464E8	3.665632E8	3.14575488E8	
sp|P01859|IGHG2_HUMAN	P01859	IGHG2_HUMAN	IGHG2	395	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy constant gamma 2	1.0	0.999	6	21	20	33	5	5	5	6	5	5	5	5	8	8	8	9	1.99594176E8	1.48519776E8	2.08365968E8	1.99748512E8	8.0763528E7	6.5306484E7	1.11955544E8	7.5983496E7	
sp|P01860|IGHG3_HUMAN	P01860	IGHG3_HUMAN	IGHG3	446	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy constant gamma 3	1.0	0.999	6	5	5	26	1	1	1	2	1	1	1	2	6	6	6	8	2544632.0	2755559.2	2618592.2	2702131.2	0.0	0.0	0.0	0.0	
sp|P01861|IGHG4_HUMAN	P01861	IGHG4_HUMAN	IGHG4	396	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy constant gamma 4	1.0	0.9989	6	9	9	25	2	3	1	3	2	3	1	3	6	7	5	7	1.4931697E7	2.4486576E7	2.7107566E7	2.3314318E7	0.0	1.9693758E7	1.1604281E7	2.0010296E7	
sp|P01871|IGHM_HUMAN	P01871	IGHM_HUMAN	IGHM	474	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy constant mu	1.0	0.999	6	13	13	13	5	3	2	3	5	3	2	3	5	3	2	3	3336948.0	2009051.4	2934605.5	2669480.8	1065519.2	906622.44	1176020.2	1063290.5	
sp|P01876|IGHA1_HUMAN	P01876	IGHA1_HUMAN	IGHA1	398	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy constant alpha 1	1.0	0.999	6	22	8	22	6	5	5	6	2	2	2	2	6	5	5	6	8.0206968E7	7.434608E7	7.6890816E7	8.9281128E7	4.0834732E7	3.7188956E7	2.688736E7	4.7590756E7	
sp|P01877|IGHA2_HUMAN	P01877	IGHA2_HUMAN	IGHA2	391	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy constant alpha 2	0.9996	0.999	5	1	1	15	1	0	0	0	1	0	0	0	5	3	3	4	2209440.8	1669414.4	0.0	2371796.8	0.0	0.0	0.0	0.0	
sp|P02042|HBD_HUMAN	P02042	HBD_HUMAN	HBD	147	Homo sapiens	1:Experimental evidence at protein level	Hemoglobin subunit delta	0.9995	0.996	8	1	1	21	0	0	0	1	0	0	0	1	3	5	3	10	0.0	143716.19	0.0	721582.94	0.0	0.0	0.0	0.0	
sp|P02452|CO1A1_HUMAN	P02452	CO1A1_HUMAN	COL1A1	1464	Homo sapiens	1:Experimental evidence at protein level	Collagen alpha-1(I) chain	1.0	0.999	7	14	14	14	4	4	1	5	4	4	1	5	4	4	1	5	3802898.0	3594564.2	3574107.2	3884652.0	1805874.9	1468106.0	1518128.6	1800603.8	
sp|P02461|CO3A1_HUMAN	P02461	CO3A1_HUMAN	COL3A1	1466	Homo sapiens	1:Experimental evidence at protein level	Collagen alpha-1(III) chain	1.0	0.998	3	4	4	4	0	2	0	2	0	2	0	2	0	2	0	2	1004293.75	1470323.0	1628036.5	1335566.4	516482.28	597799.1	730761.6	614363.06	
sp|P02545|LMNA_HUMAN	P02545	LMNA_HUMAN	LMNA	664	Homo sapiens	1:Experimental evidence at protein level	Prelamin-A/C	1.0	0.9937	4	7	7	7	3	0	0	4	3	0	0	4	3	0	0	4	1887018.2	362594.25	1143127.4	1672986.6	767294.75	222254.38	489399.28	670896.1	
sp|P02647|APOA1_HUMAN	P02647	APOA1_HUMAN	APOA1	267	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein A-I	1.0	0.999	27	141	141	141	35	36	31	39	35	36	31	39	35	36	31	39	6.6802451E8	5.9105805E8	9.5426867E8	8.2237958E8	2.821568E8	2.65043536E8	2.97125408E8	2.98968288E8	
sp|P02649|APOE_HUMAN	P02649	APOE_HUMAN	APOE	317	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein E	1.0	0.999	27	132	132	132	33	35	29	35	33	35	29	35	33	35	29	35	6.4292077E8	5.8083712E8	4.31461312E8	5.35332576E8	2.45705792E8	2.58090384E8	1.66344304E8	2.22689552E8	
sp|P02652|APOA2_HUMAN	P02652	APOA2_HUMAN	APOA2	100	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein A-II	1.0	0.999	5	22	22	22	6	6	4	6	6	6	4	6	6	6	4	6	1.73244912E8	1.6688488E8	9.0617064E7	2.13015104E8	1.02023232E8	9.4109448E7	5.3252748E7	1.09148904E8	
sp|P02654|APOC1_HUMAN	P02654	APOC1_HUMAN	APOC1	83	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein C-I	1.0	0.9983	5	20	20	20	4	5	5	6	4	5	5	6	4	5	5	6	2.45522E7	2.1905496E7	2.0107492E7	2.9321064E7	1.1859708E7	1.0918597E7	7399882.5	1.318743E7	
sp|P02655|APOC2_HUMAN	P02655	APOC2_HUMAN	APOC2	101	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein C-II	1.0	0.999	2	6	6	6	2	1	1	2	2	1	1	2	2	1	1	2	4535383.0	3480118.0	3428336.5	5244369.0	2605965.8	1939533.1	1945399.5	2992015.0	
sp|P02656|APOC3_HUMAN	P02656	APOC3_HUMAN	APOC3	99	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein C-III	1.0	0.999	3	11	11	11	3	3	3	2	3	3	3	2	3	3	3	2	2.3346444E7	1.7454646E7	2.1025212E7	2.1457916E7	1.3422274E7	1.0011828E7	1.0046547E7	1.2684364E7	
sp|P02671|FIBA_HUMAN	P02671	FIBA_HUMAN	FGA	866	Homo sapiens	1:Experimental evidence at protein level	Fibrinogen alpha chain	1.0	0.9989	18	60	60	60	15	17	10	18	15	17	10	18	15	17	10	18	1.4594018E7	1.8917166E7	1.3029657E7	1.5944117E7	5826502.5	7389636.5	6281639.0	6456033.0	
sp|P02675|FIBB_HUMAN	P02675	FIBB_HUMAN	FGB	491	Homo sapiens	1:Experimental evidence at protein level	Fibrinogen beta chain	1.0	0.999	15	64	64	64	16	18	18	12	16	18	18	12	16	18	18	12	2.45287E7	1.5201063E7	2.2913828E7	2.0663732E7	1.0174356E7	1.1459794E7	1.274469E7	8341549.5	
sp|P02679|FIBG_HUMAN	P02679	FIBG_HUMAN	FGG	453	Homo sapiens	1:Experimental evidence at protein level	Fibrinogen gamma chain	1.0	0.999	14	48	48	48	11	16	15	6	11	16	15	6	11	16	15	6	1.5900649E7	1.8402192E7	3.2278036E7	1.2394922E7	6567786.0	9142730.0	1.1694018E7	5843099.5	
sp|P02745|C1QA_HUMAN	P02745	C1QA_HUMAN	C1QA	245	Homo sapiens	1:Experimental evidence at protein level	Complement C1q subcomponent subunit A	1.0	0.9791	3	9	9	9	2	2	2	3	2	2	2	3	2	2	2	3	3077031.5	4497394.0	5426291.0	1605828.9	2077450.6	2802008.8	2458635.5	1568011.4	
sp|P02746|C1QB_HUMAN	P02746	C1QB_HUMAN	C1QB	253	Homo sapiens	1:Experimental evidence at protein level	Complement C1q subcomponent subunit B	1.0	0.999	5	18	18	18	6	4	3	5	6	4	3	5	6	4	3	5	1.8798328E7	1.5831551E7	1.4612469E7	1.7901788E7	9640531.0	9269801.0	6958757.0	9154269.0	
sp|P02747|C1QC_HUMAN	P02747	C1QC_HUMAN	C1QC	245	Homo sapiens	1:Experimental evidence at protein level	Complement C1q subcomponent subunit C	1.0	0.999	4	10	10	10	3	2	2	3	3	2	2	3	3	2	2	3	1.5368782E7	1.6894232E7	1.5850571E7	1.5089273E7	6595080.5	7409214.0	6369566.5	6486278.5	
sp|P02748|CO9_HUMAN	P02748	CO9_HUMAN	C9	559	Homo sapiens	1:Experimental evidence at protein level	Complement component C9	1.0	0.999	13	44	40	44	11	12	9	12	10	11	8	11	11	12	9	12	7539146.0	9295971.0	1.9106968E7	9613889.0	3399016.0	4035955.0	5099838.0	3675405.0	
sp|P02749|APOH_HUMAN	P02749	APOH_HUMAN	APOH	345	Homo sapiens	1:Experimental evidence at protein level	Beta-2-glycoprotein 1	1.0	0.9985	7	25	25	25	6	7	3	9	6	7	3	9	6	7	3	9	4.50004E7	4.8626364E7	3.061521E7	5.2598544E7	1.948162E7	2.166692E7	1.0450634E7	2.4168808E7	
sp|P02750|A2GL_HUMAN	P02750	A2GL_HUMAN	LRG1	347	Homo sapiens	1:Experimental evidence at protein level	Leucine-rich alpha-2-glycoprotein	1.0	0.999	11	36	36	36	9	7	8	12	9	7	8	12	9	7	8	12	1.413428E7	1.5458021E7	1.8021148E7	3.0020508E7	6945206.0	6806121.5	7529439.0	1.1518091E7	
sp|P02751|FINC_HUMAN	P02751	FINC_HUMAN	FN1	2477	Homo sapiens	1:Experimental evidence at protein level	Fibronectin	1.0	0.999	56	196	196	196	51	57	43	45	51	57	43	45	51	57	43	45	2.6984296E7	3.5482112E7	4.1682244E7	2.0882722E7	1.083746E7	1.3899916E7	1.7187446E7	9173201.0	
sp|P02753|RET4_HUMAN	P02753	RET4_HUMAN	RBP4	201	Homo sapiens	1:Experimental evidence at protein level	Retinol-binding protein 4	1.0	0.9989	4	15	15	15	4	3	2	6	4	3	2	6	4	3	2	6	1.3053991E7	1.5835946E7	3.0455284E7	1.380016E7	6175144.5	6233777.5	1.0376761E7	6520556.0	
sp|P02760|AMBP_HUMAN	P02760	AMBP_HUMAN	AMBP	352	Homo sapiens	1:Experimental evidence at protein level	Protein AMBP	1.0	0.9988	4	16	16	16	4	4	4	4	4	4	4	4	4	4	4	4	1.5258734E7	1.1849022E7	1.6176092E7	1.645908E7	6544858.0	5402993.0	8160329.5	7335849.5	
sp|P02763|A1AG1_HUMAN	P02763	A1AG1_HUMAN	ORM1	201	Homo sapiens	1:Experimental evidence at protein level	Alpha-1-acid glycoprotein 1	1.0	0.999	7	35	35	43	9	9	8	9	9	9	8	9	11	11	10	11	3.01594304E8	1.93304768E8	2.30392992E8	2.57141936E8	1.1520272E8	8.2932032E7	9.3743536E7	1.10612752E8	
sp|P02765|FETUA_HUMAN	P02765	FETUA_HUMAN	AHSG	367	Homo sapiens	1:Experimental evidence at protein level	Alpha-2-HS-glycoprotein	1.0	0.999	3	20	20	20	6	5	5	4	6	5	5	4	6	5	5	4	1.58228272E8	1.82673024E8	1.081736E8	1.18298752E8	6.8787296E7	6.6921912E7	4.9542864E7	5.3925E7	
sp|P02766|TTHY_HUMAN	P02766	TTHY_HUMAN	TTR	147	Homo sapiens	1:Experimental evidence at protein level	Transthyretin	1.0	0.999	8	51	51	51	13	13	12	13	13	13	12	13	13	13	12	13	1.29796448E8	1.4505344E8	1.69794032E8	1.18881984E8	6.5515184E7	7.33858E7	9.4872152E7	7.3876024E7	
sp|P02768|ALBU_HUMAN	P02768	ALBU_HUMAN	ALB	609	Homo sapiens	1:Experimental evidence at protein level	Albumin	1.0	0.999	37	169	147	169	45	41	40	43	39	36	35	37	45	41	40	43	4.4504771E9	4.3080847E9	5.9681843E9	7.0283919E9	2.63396096E9	3.0288489E9	3.26278093E9	3.04651136E9	
sp|P02774|VTDB_HUMAN	P02774	VTDB_HUMAN	GC	474	Homo sapiens	1:Experimental evidence at protein level	Vitamin D-binding protein	1.0	0.999	15	69	69	69	19	18	14	18	19	18	14	18	19	18	14	18	1.14994144E8	6.9506816E7	7.7323216E7	1.36145424E8	5.0193512E7	3.7008296E7	3.6420804E7	4.7086332E7	
sp|P02787|TRFE_HUMAN	P02787	TRFE_HUMAN	TF	698	Homo sapiens	1:Experimental evidence at protein level	Serotransferrin	1.0	0.999	26	168	168	168	43	43	38	44	43	43	38	44	43	43	38	44	6.106217E8	1.05494848E9	1.35023168E9	1.36942925E9	5.24742272E8	5.16635328E8	4.11737088E8	5.4731584E8	
sp|P02790|HEMO_HUMAN	P02790	HEMO_HUMAN	HPX	462	Homo sapiens	1:Experimental evidence at protein level	Hemopexin	1.0	0.999	16	72	64	72	18	19	17	18	16	17	15	16	18	19	17	18	2.96153024E8	2.952232E8	1.366128E8	3.74631872E8	1.14145224E8	1.27750208E8	1.15629008E8	1.53763936E8	
sp|P03950|ANGI_HUMAN	P03950	ANGI_HUMAN	ANG	147	Homo sapiens	1:Experimental evidence at protein level	Angiogenin	0.5068	0.9714	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	1	692194.44	291375.06	0.0	506807.28	0.0	0.0	0.0	0.0	
sp|P03952|KLKB1_HUMAN	P03952	KLKB1_HUMAN	KLKB1	638	Homo sapiens	1:Experimental evidence at protein level	Plasma kallikrein	1.0	0.9981	4	9	9	9	3	1	1	4	3	1	1	4	3	1	1	4	1877273.2	2104413.5	2169413.0	2177977.8	791632.5	877092.2	817512.94	835081.8	
sp|P04004|VTNC_HUMAN	P04004	VTNC_HUMAN	VTN	478	Homo sapiens	1:Experimental evidence at protein level	Vitronectin	1.0	0.999	6	21	21	21	3	8	5	5	3	8	5	5	3	8	5	5	5860528.0	1.4977419E7	1.6602426E7	6102932.0	3124172.8	6095390.0	8605323.0	3139834.8	
sp|P04066|FUCO_HUMAN	P04066	FUCO_HUMAN	FUCA1	466	Homo sapiens	1:Experimental evidence at protein level	Tissue alpha-L-fucosidase	1.0	0.9967	3	6	6	6	2	2	0	2	2	2	0	2	2	2	0	2	781386.0	739854.1	873794.7	827520.25	325408.0	434409.34	547553.56	372225.88	
sp|P04075|ALDOA_HUMAN	P04075	ALDOA_HUMAN	ALDOA	364	Homo sapiens	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	1.0	0.999	12	30	4	30	8	7	7	8	2	0	1	1	8	7	7	8	8270544.0	5070197.0	5270874.0	7458002.5	3273001.5	2125503.8	2657515.5	2666355.5	
sp|P04083|ANXA1_HUMAN	P04083	ANXA1_HUMAN	ANXA1	346	Homo sapiens	1:Experimental evidence at protein level	Annexin A1	0.4951	0.97	1	2	2	2	1	0	0	1	1	0	0	1	1	0	0	1	597253.75	0.0	0.0	460147.12	0.0	0.0	0.0	0.0	
sp|P04085|PDGFA_HUMAN	P04085	PDGFA_HUMAN	PDGFA	211	Homo sapiens	1:Experimental evidence at protein level	Platelet-derived growth factor subunit A	0.769	0.991	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	437010.78	479077.56	1311026.4	334234.38	0.0	0.0	0.0	0.0	
sp|P04156|PRIO_HUMAN	P04156	PRIO_HUMAN	PRNP	253	Homo sapiens	1:Experimental evidence at protein level	Major prion protein	1.0	0.999	8	25	25	25	7	8	5	5	7	8	5	5	7	8	5	5	2.1380074E7	2.2281094E7	2.0557418E7	1.8913336E7	1.5874087E7	1.6519302E7	1.1747035E7	1.2735081E7	
sp|P04180|LCAT_HUMAN	P04180	LCAT_HUMAN	LCAT	440	Homo sapiens	1:Experimental evidence at protein level	Phosphatidylcholine-sterol acyltransferase	1.0	0.999	3	8	8	8	1	2	3	2	1	2	3	2	1	2	3	2	2536847.8	4651159.0	4993888.0	3831173.8	1469215.9	1942056.6	2032451.0	1779204.2	
sp|P04196|HRG_HUMAN	P04196	HRG_HUMAN	HRG	525	Homo sapiens	1:Experimental evidence at protein level	Histidine-rich glycoprotein	1.0	0.999	13	45	45	45	13	11	7	14	13	11	7	14	13	11	7	14	4.7921128E7	3.9585252E7	6.5795628E7	6.0218168E7	1.9234352E7	1.715027E7	2.2765638E7	2.4675546E7	
sp|P04216|THY1_HUMAN	P04216	THY1_HUMAN	THY1	161	Homo sapiens	1:Experimental evidence at protein level	Thy-1 membrane glycoprotein	1.0	0.999	3	10	10	10	3	2	2	3	3	2	2	3	3	2	2	3	2.193068E7	1.6950316E7	1.7512204E7	2.1732662E7	1.249959E7	9978329.0	1.0764285E7	1.2421977E7	
sp|P04217|A1BG_HUMAN	P04217	A1BG_HUMAN	A1BG	495	Homo sapiens	1:Experimental evidence at protein level	Alpha-1B-glycoprotein	1.0	0.999	12	62	62	62	16	15	14	17	16	15	14	17	16	15	14	17	7.8675088E7	6.59832E7	6.71952E7	9.2392536E7	2.8608214E7	2.6783182E7	2.9438262E7	3.279059E7	
