Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P07333|CSF1R_HUMAN	P07333	CSF1R_HUMAN	CSF1R	972	false	false	Homo sapiens	Macrophage colony-stimulating factor 1 receptor	1:Experimental evidence at protein level	4.01	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	6554011.5	6554011.5	6554011.5			
sp|P07339|CATD_HUMAN	P07339	CATD_HUMAN	CTSD	412	false	false	Homo sapiens	Cathepsin D	1:Experimental evidence at protein level	17.72	1.0000	0.9988	0.00000000000000	6	6	6	6	6	6	7539369.5	7539369.5	7539369.5			
sp|P07357|CO8A_HUMAN	P07357	CO8A_HUMAN	C8A	584	false	false	Homo sapiens	Complement component C8 alpha chain	1:Experimental evidence at protein level	8.90	1.0000	0.9986	0.00000000000000	3	3	3	3	3	3	3195851.0	3195851.0	3195851.0			
sp|P07358|CO8B_HUMAN	P07358	CO8B_HUMAN	C8B	591	false	false	Homo sapiens	Complement component C8 beta chain	1:Experimental evidence at protein level	9.31	1.0000	0.9981	0.00000000000000	4	4	4	4	4	4	1324422.8	1324422.8	1324422.8			
sp|P07360|CO8G_HUMAN	P07360	CO8G_HUMAN	C8G	202	false	false	Homo sapiens	Complement component C8 gamma chain	1:Experimental evidence at protein level	20.79	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	3780086.0	3780086.0	3780086.0			
sp|P07711|CATL1_HUMAN	P07711	CATL1_HUMAN	CTSL	333	false	false	Homo sapiens	Procathepsin L	1:Experimental evidence at protein level	12.61	1.0000	0.9989	0.00000000000000	3	2	3	3	2	3	2423270.0	2242984.8	2423270.0			
sp|P08185|CBG_HUMAN	P08185	CBG_HUMAN	SERPINA6	405	false	false	Homo sapiens	Corticosteroid-binding globulin	1:Experimental evidence at protein level	35.31	1.0000	0.9990	0.00000000000000	9	9	9	9	9	9	9599602.0	9599602.0	9599602.0			
sp|P08238|HS90B_HUMAN	P08238	HS90B_HUMAN	HSP90AB1	724	false	false	Homo sapiens	Heat shock protein HSP 90-beta	1:Experimental evidence at protein level	4.56	1.0000	0.9973	0.00000000000000	3	0	3	3	0	3	2214987.8	0	2214987.8			
sp|P08253|MMP2_HUMAN	P08253	MMP2_HUMAN	MMP2	660	false	false	Homo sapiens	72 kDa type IV collagenase	1:Experimental evidence at protein level	22.73	1.0000	0.9981	0.00000000000000	10	9	10	10	9	10	4194360.5	4194360.5	4194360.5			
sp|P08294|SODE_HUMAN	P08294	SODE_HUMAN	SOD3	240	false	false	Homo sapiens	Extracellular superoxide dismutase [Cu-Zn]	1:Experimental evidence at protein level	20.00	1.0000	0.9990	0.00000000000000	4	4	4	6	6	6	1.8012526E7	1.8012526E7	1.8012526E7			
sp|P08571|CD14_HUMAN	P08571	CD14_HUMAN	CD14	375	false	false	Homo sapiens	Monocyte differentiation antigen CD14	1:Experimental evidence at protein level	21.07	1.0000	0.9990	0.00000000000000	6	6	6	6	6	6	1.6288789E7	1.6288789E7	1.6288789E7			
sp|P08603|CFAH_HUMAN	P08603	CFAH_HUMAN	CFH	1231	false	false	Homo sapiens	Complement factor H	1:Experimental evidence at protein level	9.26	1.0000	0.9990	0.00000000000000	12	11	12	13	12	13	1.6329386E7	1.4942744E7	1.6329386E7			
sp|P08697|A2AP_HUMAN	P08697	A2AP_HUMAN	SERPINF2	491	false	false	Homo sapiens	Alpha-2-antiplasmin	1:Experimental evidence at protein level	23.83	1.0000	0.9990	0.00000000000000	8	8	8	8	8	8	5550879.5	5550879.5	5550879.5			
sp|P09382|LEG1_HUMAN	P09382	LEG1_HUMAN	LGALS1	135	false	false	Homo sapiens	Galectin-1	1:Experimental evidence at protein level	17.78	1.0000	0.9961	0.00000000000000	2	2	2	2	2	2	686972.56	686972.56	686972.56			
sp|P09486|SPRC_HUMAN	P09486	SPRC_HUMAN	SPARC	303	false	false	Homo sapiens	SPARC	1:Experimental evidence at protein level	7.59	1.0000	0.9952	0.00000000000000	3	3	3	3	3	3	3945238.5	3945238.5	3945238.5			
sp|P09603|CSF1_HUMAN	P09603	CSF1_HUMAN	CSF1	554	false	false	Homo sapiens	Macrophage colony-stimulating factor 1	1:Experimental evidence at protein level	5.23	1.0000	0.9989	0.00000000000000	2	2	2	2	2	2	2174158.0	2174158.0	2174158.0			
sp|P09668|CATH_HUMAN	P09668	CATH_HUMAN	CTSH	335	false	false	Homo sapiens	Pro-cathepsin H	1:Experimental evidence at protein level	6.57	1.0000	0.9990	0.00000000000000	2	2	2	2	2	2	1019267.3	1019267.3	1019267.3			
sp|P09871|C1S_HUMAN	P09871	C1S_HUMAN	C1S	688	false	false	Homo sapiens	Complement C1s subcomponent	1:Experimental evidence at protein level	17.59	1.0000	0.9990	0.00000000000000	10	9	10	10	9	10	1.5241834E7	1.5241834E7	1.5241834E7			
sp|P09972|ALDOC_HUMAN	P09972	ALDOC_HUMAN	ALDOC	364	false	false	Homo sapiens	Fructose-bisphosphate aldolase C	1:Experimental evidence at protein level	15.11	1.0000	0.9988	0.00000000000000	4	3	3	4	3	3	2106836.2	1536112.9	1536112.9			
sp|P0C0L4|CO4A_HUMAN	P0C0L4	CO4A_HUMAN	C4A	1744	false	false	Homo sapiens	Complement C4-A	1:Experimental evidence at protein level	45.87	1.0000	0.9990	0.00000000000000	59	4	4	71	4	4	1.1106064E8	1.6427278E7	1.6427278E7			
sp|P0C0L5|CO4B_HUMAN	P0C0L5	CO4B_HUMAN	C4B	1744	false	false	Homo sapiens	Complement C4-B	1:Experimental evidence at protein level	47.42	1.0000	0.9990	0.00000000000000	60	5	60	72	5	72	1.1106064E8	3.2324372E7	1.1106064E8			
sp|P0CG47|UBB_HUMAN	P0CG47	UBB_HUMAN	UBB	229	false	false	Homo sapiens	Polyubiquitin-B	1:Experimental evidence at protein level	44.54	1.0000	0.9990	0.00000000000000	3	0	3	3	0	3	2.8578028E7	0	2.8578028E7			sp|P0CG48|UBC_HUMAN, sp|P62979|RS27A_HUMAN, sp|P62987|RL40_HUMAN
sp|P0DOY2|IGLC2_HUMAN	P0DOY2	IGLC2_HUMAN	IGLC2	106	false	false	Homo sapiens	Immunoglobulin lambda constant 2	1:Experimental evidence at protein level	41.51	1.0000	0.9990	0.00000000000000	3	0	2	3	0	2	3.030752E8	0	5.1326656E7			sp|P0DOY3|IGLC3_HUMAN
sp|P10451|OSTP_HUMAN	P10451	OSTP_HUMAN	SPP1	314	false	false	Homo sapiens	Osteopontin	1:Experimental evidence at protein level	31.53	1.0000	0.9990	0.00000000000000	7	7	7	10	10	10	1.0311648E8	1.0311648E8	1.0311648E8			
sp|P10643|CO7_HUMAN	P10643	CO7_HUMAN	C7	843	false	false	Homo sapiens	Complement component C7	1:Experimental evidence at protein level	16.25	1.0000	0.9990	0.00000000000000	11	11	11	11	11	11	1.4075724E7	1.4075724E7	1.4075724E7			
sp|P10645|CMGA_HUMAN	P10645	CMGA_HUMAN	CHGA	457	false	false	Homo sapiens	Chromogranin-A	1:Experimental evidence at protein level	27.13	1.0000	0.9990	0.00000000000000	7	7	7	8	8	8	3.921608E7	3.921608E7	3.921608E7			
sp|P10809|CH60_HUMAN	P10809	CH60_HUMAN	HSPD1	573	false	false	Homo sapiens	60 kDa heat shock protein, mitochondrial	1:Experimental evidence at protein level	3.14	1.0000	0.9938	0.00000000000000	2	2	2	2	2	2	1181497.4	1181497.4	1181497.4			
sp|P10909|CLUS_HUMAN	P10909	CLUS_HUMAN	CLU	449	false	false	Homo sapiens	Clusterin	1:Experimental evidence at protein level	29.84	1.0000	0.9990	0.00000000000000	13	13	13	19	19	19	3.70089472E8	3.70089472E8	3.70089472E8			
sp|P11142|HSP7C_HUMAN	P11142	HSP7C_HUMAN	HSPA8	646	false	false	Homo sapiens	Heat shock cognate 71 kDa protein	1:Experimental evidence at protein level	5.73	1.0000	0.9955	0.00000000000000	4	3	4	4	3	4	1117793.2	1117793.2	1117793.2			
sp|P11362|FGFR1_HUMAN	P11362	FGFR1_HUMAN	FGFR1	822	false	false	Homo sapiens	Fibroblast growth factor receptor 1	1:Experimental evidence at protein level	3.04	1.0000	0.9982	0.00000000000000	2	2	2	2	2	2	780548.0	780548.0	780548.0			
sp|P12109|CO6A1_HUMAN	P12109	CO6A1_HUMAN	COL6A1	1028	false	false	Homo sapiens	Collagen alpha-1(VI) chain	1:Experimental evidence at protein level	14.69	1.0000	0.9990	0.00000000000000	11	11	11	12	12	12	6288737.5	6288737.5	6288737.5			
sp|P12259|FA5_HUMAN	P12259	FA5_HUMAN	F5	2224	false	false	Homo sapiens	Coagulation factor V	1:Experimental evidence at protein level	1.98	1.0000	0.9918	0.00000000000000	3	3	3	3	3	3	1153452.4	1153452.4	1153452.4			
sp|P13473|LAMP2_HUMAN	P13473	LAMP2_HUMAN	LAMP2	410	false	false	Homo sapiens	Lysosome-associated membrane glycoprotein 2	1:Experimental evidence at protein level	6.59	1.0000	0.9932	0.00000000000000	3	3	3	3	3	3	6043078.0	6043078.0	6043078.0			
sp|P13521|SCG2_HUMAN	P13521	SCG2_HUMAN	SCG2	617	false	false	Homo sapiens	Secretogranin-2	1:Experimental evidence at protein level	17.99	1.0000	0.9987	0.00000000000000	7	7	7	7	7	7	6641704.0	6641704.0	6641704.0			
sp|P13591|NCAM1_HUMAN	P13591	NCAM1_HUMAN	NCAM1	858	false	false	Homo sapiens	Neural cell adhesion molecule 1	1:Experimental evidence at protein level	25.52	1.0000	0.9990	0.00000000000000	18	18	18	19	19	19	2.9448918E7	2.9448918E7	2.9448918E7			
sp|P13671|CO6_HUMAN	P13671	CO6_HUMAN	C6	934	false	false	Homo sapiens	Complement component C6	1:Experimental evidence at protein level	7.60	1.0000	0.9987	0.00000000000000	4	4	4	4	4	4	2212869.5	2212869.5	2212869.5			
sp|P14618|KPYM_HUMAN	P14618	KPYM_HUMAN	PKM	531	false	false	Homo sapiens	Pyruvate kinase PKM	1:Experimental evidence at protein level	22.60	1.0000	0.9990	0.00000000000000	8	8	8	8	8	8	5505774.0	5505774.0	5505774.0			
sp|P16035|TIMP2_HUMAN	P16035	TIMP2_HUMAN	TIMP2	220	false	false	Homo sapiens	Metalloproteinase inhibitor 2	1:Experimental evidence at protein level	17.27	1.0000	0.9987	0.00000000000000	3	3	3	3	3	3	2432942.2	2432942.2	2432942.2			
sp|P16070|CD44_HUMAN	P16070	CD44_HUMAN	CD44	742	false	false	Homo sapiens	CD44 antigen	1:Experimental evidence at protein level	2.83	1.0000	0.9990	0.00000000000000	2	2	2	2	2	2	8413415.0	8413415.0	8413415.0			
sp|P16870|CBPE_HUMAN	P16870	CBPE_HUMAN	CPE	476	false	false	Homo sapiens	Carboxypeptidase E	1:Experimental evidence at protein level	30.88	1.0000	0.9990	0.00000000000000	11	11	11	12	12	12	1.0512086E7	1.0512086E7	1.0512086E7			
sp|P17174|AATC_HUMAN	P17174	AATC_HUMAN	GOT1	413	false	false	Homo sapiens	Aspartate aminotransferase, cytoplasmic	1:Experimental evidence at protein level	21.79	1.0000	0.9988	0.00000000000000	5	5	5	5	5	5	4341950.5	4341950.5	4341950.5			
sp|P17900|SAP3_HUMAN	P17900	SAP3_HUMAN	GM2A	193	false	false	Homo sapiens	Ganglioside GM2 activator	1:Experimental evidence at protein level	23.83	1.0000	0.9989	0.00000000000000	4	4	4	4	4	4	1.5146456E7	1.5146456E7	1.5146456E7			
sp|P18065|IBP2_HUMAN	P18065	IBP2_HUMAN	IGFBP2	325	false	false	Homo sapiens	Insulin-like growth factor-binding protein 2	1:Experimental evidence at protein level	4.92	1.0000	0.9943	0.00000000000000	2	2	2	2	2	2	3751347.2	3751347.2	3751347.2			
sp|P19021|AMD_HUMAN	P19021	AMD_HUMAN	PAM	973	false	false	Homo sapiens	Peptidyl-glycine alpha-amidating monooxygenase	1:Experimental evidence at protein level	4.83	1.0000	0.9990	0.00000000000000	4	4	4	5	5	5	3034018.2	3034018.2	3034018.2			
sp|P19022|CADH2_HUMAN	P19022	CADH2_HUMAN	CDH2	906	false	false	Homo sapiens	Cadherin-2	1:Experimental evidence at protein level	6.51	1.0000	0.9990	0.00000000000000	5	5	5	6	6	6	8506462.0	8506462.0	8506462.0			
sp|P19652|A1AG2_HUMAN	P19652	A1AG2_HUMAN	ORM2	201	false	false	Homo sapiens	Alpha-1-acid glycoprotein 2	1:Experimental evidence at protein level	31.84	1.0000	0.9990	0.00000000000000	7	5	7	9	7	9	9.2504824E7	9.2504824E7	9.2504824E7			
sp|P19823|ITIH2_HUMAN	P19823	ITIH2_HUMAN	ITIH2	946	false	false	Homo sapiens	Inter-alpha-trypsin inhibitor heavy chain H2	1:Experimental evidence at protein level	17.55	1.0000	0.9990	0.00000000000000	11	11	11	11	11	11	9135345.0	9135345.0	9135345.0			
sp|P19827|ITIH1_HUMAN	P19827	ITIH1_HUMAN	ITIH1	911	false	false	Homo sapiens	Inter-alpha-trypsin inhibitor heavy chain H1	1:Experimental evidence at protein level	18.55	1.0000	0.9990	0.00000000000000	10	10	10	10	10	10	5511407.5	5511407.5	5511407.5			
sp|P20472|PRVA_HUMAN	P20472	PRVA_HUMAN	PVALB	110	false	false	Homo sapiens	Parvalbumin alpha	1:Experimental evidence at protein level	33.64	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	2583100.0	2583100.0	2583100.0			
sp|P20774|MIME_HUMAN	P20774	MIME_HUMAN	OGN	298	false	false	Homo sapiens	Mimecan	1:Experimental evidence at protein level	36.58	1.0000	0.9990	0.00000000000000	11	11	11	12	12	12	3.2587512E7	3.2587512E7	3.2587512E7			
sp|P22304|IDS_HUMAN	P22304	IDS_HUMAN	IDS	550	false	false	Homo sapiens	Iduronate 2-sulfatase	1:Experimental evidence at protein level	5.82	1.0000	0.9944	0.00000000000000	2	2	2	2	2	2	862557.1	862557.1	862557.1			
sp|P22352|GPX3_HUMAN	P22352	GPX3_HUMAN	GPX3	226	false	false	Homo sapiens	Glutathione peroxidase 3	1:Experimental evidence at protein level	16.37	1.0000	0.9985	0.00000000000000	3	3	3	3	3	3	2734128.5	2734128.5	2734128.5			
sp|P23142|FBLN1_HUMAN	P23142	FBLN1_HUMAN	FBLN1	703	false	false	Homo sapiens	Fibulin-1	1:Experimental evidence at protein level	15.08	1.0000	0.9990	0.00000000000000	8	8	8	8	8	8	2.2766084E7	2.2766084E7	2.2766084E7			
sp|P23284|PPIB_HUMAN	P23284	PPIB_HUMAN	PPIB	216	false	false	Homo sapiens	Peptidyl-prolyl cis-trans isomerase B	1:Experimental evidence at protein level	25.00	1.0000	0.9969	0.00000000000000	5	5	5	5	5	5	1903652.2	1903652.2	1903652.2			
sp|P23468|PTPRD_HUMAN	P23468	PTPRD_HUMAN	PTPRD	1912	false	false	Homo sapiens	Receptor-type tyrosine-protein phosphatase delta	1:Experimental evidence at protein level	3.40	1.0000	0.9990	0.00000000000000	5	4	5	5	4	5	1957950.2	1942753.8	1957950.2			
sp|P23471|PTPRZ_HUMAN	P23471	PTPRZ_HUMAN	PTPRZ1	2315	false	false	Homo sapiens	Receptor-type tyrosine-protein phosphatase zeta	1:Experimental evidence at protein level	3.41	1.0000	0.9990	0.00000000000000	7	7	7	7	7	7	3152861.8	3152861.8	3152861.8			
sp|P23515|OMGP_HUMAN	P23515	OMGP_HUMAN	OMG	440	false	false	Homo sapiens	Oligodendrocyte-myelin glycoprotein	1:Experimental evidence at protein level	12.50	1.0000	0.9974	0.00000000000000	4	4	4	4	4	4	5352179.0	5352179.0	5352179.0			
sp|P24592|IBP6_HUMAN	P24592	IBP6_HUMAN	IGFBP6	240	false	false	Homo sapiens	Insulin-like growth factor-binding protein 6	1:Experimental evidence at protein level	10.83	1.0000	0.9990	0.00000000000000	3	3	3	4	4	4	1.4412731E7	1.4412731E7	1.4412731E7			
sp|P25311|ZA2G_HUMAN	P25311	ZA2G_HUMAN	AZGP1	298	false	false	Homo sapiens	Zinc-alpha-2-glycoprotein	1:Experimental evidence at protein level	40.60	1.0000	0.9990	0.00000000000000	11	11	11	14	14	14	5.7302716E7	5.7302716E7	5.7302716E7			
sp|P26992|CNTFR_HUMAN	P26992	CNTFR_HUMAN	CNTFR	372	false	false	Homo sapiens	Ciliary neurotrophic factor receptor subunit alpha	1:Experimental evidence at protein level	9.95	1.0000	0.9938	0.00000000000000	2	2	2	2	2	2	2015667.5	2015667.5	2015667.5			
sp|P27169|PON1_HUMAN	P27169	PON1_HUMAN	PON1	355	false	false	Homo sapiens	Serum paraoxonase/arylesterase 1	1:Experimental evidence at protein level	29.86	1.0000	0.9990	0.00000000000000	6	5	6	6	5	6	3395135.0	3395135.0	3395135.0			
sp|P29622|KAIN_HUMAN	P29622	KAIN_HUMAN	SERPINA4	427	false	false	Homo sapiens	Kallistatin	1:Experimental evidence at protein level	28.81	1.0000	0.9990	0.00000000000000	10	10	10	10	10	10	3261104.2	3261104.2	3261104.2			
sp|P30086|PEBP1_HUMAN	P30086	PEBP1_HUMAN	PEBP1	187	false	false	Homo sapiens	Phosphatidylethanolamine-binding protein 1	1:Experimental evidence at protein level	39.57	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	1.3419483E7	1.3419483E7	1.3419483E7			
sp|P32119|PRDX2_HUMAN	P32119	PRDX2_HUMAN	PRDX2	198	false	false	Homo sapiens	Peroxiredoxin-2	1:Experimental evidence at protein level	15.15	1.0000	0.9923	0.00000000000000	3	2	3	3	2	3	1733363.0	464053.94	1733363.0			
sp|P35542|SAA4_HUMAN	P35542	SAA4_HUMAN	SAA4	130	false	false	Homo sapiens	Serum amyloid A-4 protein	1:Experimental evidence at protein level	18.46	1.0000	0.9987	0.00000000000000	2	2	2	3	3	3	3402511.0	3402511.0	3402511.0			
sp|P36222|CH3L1_HUMAN	P36222	CH3L1_HUMAN	CHI3L1	383	false	false	Homo sapiens	Chitinase-3-like protein 1	1:Experimental evidence at protein level	39.43	1.0000	0.9990	0.00000000000000	13	13	13	14	14	14	2.8017886E7	2.8017886E7	2.8017886E7			
sp|P36955|PEDF_HUMAN	P36955	PEDF_HUMAN	SERPINF1	418	false	false	Homo sapiens	Pigment epithelium-derived factor	1:Experimental evidence at protein level	39.00	1.0000	0.9990	0.00000000000000	16	16	16	18	18	18	8.3105128E7	8.3105128E7	8.3105128E7			
sp|P39060|COIA1_HUMAN	P39060	COIA1_HUMAN	COL18A1	1754	false	false	Homo sapiens	Collagen alpha-1(XVIII) chain	1:Experimental evidence at protein level	4.50	1.0000	0.9990	0.00000000000000	5	5	5	5	5	5	4418296.0	4418296.0	4418296.0			
sp|P40189|IL6RB_HUMAN	P40189	IL6RB_HUMAN	IL6ST	918	false	false	Homo sapiens	Interleukin-6 receptor subunit beta	1:Experimental evidence at protein level	3.92	1.0000	0.9901	0.00000000000000	3	3	3	3	3	3	1175820.6	1175820.6	1175820.6			
sp|P41222|PTGDS_HUMAN	P41222	PTGDS_HUMAN	PTGDS	190	false	false	Homo sapiens	Prostaglandin-H2 D-isomerase	1:Experimental evidence at protein level	57.37	1.0000	0.9990	0.00000000000000	7	7	7	7	7	7	1.11991821E9	1.11991821E9	1.11991821E9			
sp|P42785|PCP_HUMAN	P42785	PCP_HUMAN	PRCP	496	false	false	Homo sapiens	Lysosomal Pro-X carboxypeptidase	1:Experimental evidence at protein level	10.48	1.0000	0.9976	0.00000000000000	3	3	3	3	3	3	1458217.8	1458217.8	1458217.8			
sp|P43121|MUC18_HUMAN	P43121	MUC18_HUMAN	MCAM	646	false	false	Homo sapiens	Cell surface glycoprotein MUC18	1:Experimental evidence at protein level	18.42	1.0000	0.9990	0.00000000000000	8	8	8	8	8	8	6833289.0	6833289.0	6833289.0			
sp|P43251|BTD_HUMAN	P43251	BTD_HUMAN	BTD	543	false	false	Homo sapiens	Biotinidase	1:Experimental evidence at protein level	13.63	1.0000	0.9988	0.00000000000000	5	5	5	5	5	5	5973407.0	5973407.0	5973407.0			
sp|P43652|AFAM_HUMAN	P43652	AFAM_HUMAN	AFM	599	false	false	Homo sapiens	Afamin	1:Experimental evidence at protein level	19.03	1.0000	0.9990	0.00000000000000	11	11	11	12	12	12	9768856.0	9768856.0	9768856.0			
sp|P48058|GRIA4_HUMAN	P48058	GRIA4_HUMAN	GRIA4	902	false	false	Homo sapiens	Glutamate receptor 4	1:Experimental evidence at protein level	4.32	1.0000	0.9890	0.00000000000000	3	3	3	3	3	3	1669341.6	1669341.6	1669341.6			
sp|P51693|APLP1_HUMAN	P51693	APLP1_HUMAN	APLP1	650	false	false	Homo sapiens	Amyloid beta precursor like protein 1	1:Experimental evidence at protein level	20.15	1.0000	0.9990	0.00000000000000	12	12	12	14	14	14	5.599324E7	5.599324E7	5.599324E7			
sp|P51884|LUM_HUMAN	P51884	LUM_HUMAN	LUM	338	false	false	Homo sapiens	Lumican	1:Experimental evidence at protein level	22.19	1.0000	0.9990	0.00000000000000	6	6	6	6	6	6	1.0483533E7	1.0483533E7	1.0483533E7			
sp|P54289|CA2D1_HUMAN	P54289	CA2D1_HUMAN	CACNA2D1	1103	false	false	Homo sapiens	Voltage-dependent calcium channel subunit alpha-2/delta-1	1:Experimental evidence at protein level	8.52	1.0000	0.9987	0.00000000000000	7	7	7	7	7	7	3110942.2	3110942.2	3110942.2			
sp|P54764|EPHA4_HUMAN	P54764	EPHA4_HUMAN	EPHA4	986	false	false	Homo sapiens	Ephrin type-A receptor 4	1:Experimental evidence at protein level	6.59	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	4541285.5	4541285.5	4541285.5			
sp|P55058|PLTP_HUMAN	P55058	PLTP_HUMAN	PLTP	493	false	false	Homo sapiens	Phospholipid transfer protein	1:Experimental evidence at protein level	21.30	1.0000	0.9990	0.00000000000000	8	8	8	8	8	8	1.225001E7	1.225001E7	1.225001E7			
sp|P55083|MFAP4_HUMAN	P55083	MFAP4_HUMAN	MFAP4	255	false	false	Homo sapiens	Microfibril-associated glycoprotein 4	1:Experimental evidence at protein level	9.80	1.0000	0.9990	0.00000000000000	2	2	2	3	3	3	5740998.0	5740998.0	5740998.0			
sp|P55290|CAD13_HUMAN	P55290	CAD13_HUMAN	CDH13	713	false	false	Homo sapiens	Cadherin-13	1:Experimental evidence at protein level	7.01	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	7665703.0	7665703.0	7665703.0			
sp|P60174|TPIS_HUMAN	P60174	TPIS_HUMAN	TPI1	249	false	false	Homo sapiens	Triosephosphate isomerase	1:Experimental evidence at protein level	14.06	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	1990552.6	1990552.6	1990552.6			
sp|P60709|ACTB_HUMAN	P60709	ACTB_HUMAN	ACTB	375	false	false	Homo sapiens	Actin, cytoplasmic 1	1:Experimental evidence at protein level	25.87	1.0000	0.9990	0.00000000000000	9	0	9	9	0	9	1.2400322E7	0	1.2400322E7			sp|P63261|ACTG_HUMAN
sp|P61769|B2MG_HUMAN	P61769	B2MG_HUMAN	B2M	119	false	false	Homo sapiens	Beta-2-microglobulin	1:Experimental evidence at protein level	33.61	1.0000	0.9990	0.00000000000000	4	4	4	5	5	5	1.05478632E8	1.05478632E8	1.05478632E8			
sp|P61916|NPC2_HUMAN	P61916	NPC2_HUMAN	NPC2	151	false	false	Homo sapiens	NPC intracellular cholesterol transporter 2	1:Experimental evidence at protein level	20.53	1.0000	0.9982	0.00000000000000	5	5	5	6	6	6	1.321654E7	1.321654E7	1.321654E7			
sp|P62805|H4_HUMAN	P62805	H4_HUMAN	H4C1	103	false	false	Homo sapiens	Histone H4	1:Experimental evidence at protein level	38.83	1.0000	0.9983	0.00000000000000	4	4	4	4	4	4	7283754.0	7283754.0	7283754.0			
sp|P68104|EF1A1_HUMAN	P68104	EF1A1_HUMAN	EEF1A1	462	false	false	Homo sapiens	Elongation factor 1-alpha 1	1:Experimental evidence at protein level	8.23	1.0000	0.9979	0.00000000000000	4	0	4	4	0	4	5022746.5	0	5022746.5			sp|Q5VTE0|EF1A3_HUMAN
sp|P68363|TBA1B_HUMAN	P68363	TBA1B_HUMAN	TUBA1B	451	false	false	Homo sapiens	Tubulin alpha-1B chain	1:Experimental evidence at protein level	4.21	1.0000	0.9935	0.00000000000000	2	0	2	2	0	2	552436.7	0	552436.7			sp|Q71U36|TBA1A_HUMAN, sp|Q9BQE3|TBA1C_HUMAN
sp|P68431|H31_HUMAN	P68431	H31_HUMAN	H3C1	136	false	false	Homo sapiens	Histone H3.1	1:Experimental evidence at protein level	11.76	1.0000	0.9642	0.00000000000000	2	0	2	2	0	2	5230117.0	0	5230117.0			sp|P84243|H33_HUMAN, sp|Q16695|H31T_HUMAN, sp|Q71DI3|H32_HUMAN
sp|P68871|HBB_HUMAN	P68871	HBB_HUMAN	HBB	147	false	false	Homo sapiens	Hemoglobin subunit beta	1:Experimental evidence at protein level	28.57	1.0000	0.9990	0.00000000000000	4	1	4	5	1	5	6995027.0	3034158.2	6995027.0			
sp|P78324|SHPS1_HUMAN	P78324	SHPS1_HUMAN	SIRPA	504	false	false	Homo sapiens	Tyrosine-protein phosphatase non-receptor type substrate 1	1:Experimental evidence at protein level	16.67	1.0000	0.9981	0.00000000000000	6	1	6	6	1	6	8177182.0	4624179.5	8177182.0			
sp|P78509|RELN_HUMAN	P78509	RELN_HUMAN	RELN	3460	false	false	Homo sapiens	Reelin	1:Experimental evidence at protein level	2.98	1.0000	0.9943	0.00000000000000	9	9	9	9	9	9	2462877.0	2462877.0	2462877.0			
sp|P98160|PGBM_HUMAN	P98160	PGBM_HUMAN	HSPG2	4391	false	false	Homo sapiens	Basement membrane-specific heparan sulfate proteoglycan core protein	1:Experimental evidence at protein level	2.73	1.0000	0.9990	0.00000000000000	7	7	7	7	7	7	3958337.5	3958337.5	3958337.5			
sp|P99999|CYC_HUMAN	P99999	CYC_HUMAN	CYCS	105	false	false	Homo sapiens	Cytochrome c	1:Experimental evidence at protein level	24.76	1.0000	0.9953	0.00000000000000	3	2	3	3	2	3	2416933.2	1452879.1	2416933.2			
sp|Q01459|DIAC_HUMAN	Q01459	DIAC_HUMAN	CTBS	385	false	false	Homo sapiens	Di-N-acetylchitobiase	1:Experimental evidence at protein level	9.09	1.0000	0.9988	0.00000000000000	2	2	2	2	2	2	1100059.4	1100059.4	1100059.4			
sp|Q01995|TAGL_HUMAN	Q01995	TAGL_HUMAN	TAGLN	201	false	false	Homo sapiens	Transgelin	1:Experimental evidence at protein level	10.45	1.0000	0.9988	0.00000000000000	2	2	2	2	2	2	598330.2	598330.2	598330.2			
sp|Q02246|CNTN2_HUMAN	Q02246	CNTN2_HUMAN	CNTN2	1040	false	false	Homo sapiens	Contactin-2	1:Experimental evidence at protein level	15.58	1.0000	0.9988	0.00000000000000	11	11	11	11	11	11	4854724.5	4854724.5	4854724.5			
sp|Q02818|NUCB1_HUMAN	Q02818	NUCB1_HUMAN	NUCB1	461	false	false	Homo sapiens	Nucleobindin-1	1:Experimental evidence at protein level	9.11	1.0000	0.9988	0.00000000000000	3	3	3	3	3	3	2483096.5	2483096.5	2483096.5			
sp|Q06481|APLP2_HUMAN	Q06481	APLP2_HUMAN	APLP2	763	false	false	Homo sapiens	Amyloid beta precursor like protein 2	1:Experimental evidence at protein level	6.82	1.0000	0.9989	0.00000000000000	5	4	4	5	4	4	3570379.8	3182868.5	3182868.5			
