Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	control_10_10 Spectral Count	control_1_1 Spectral Count	control_2_2 Spectral Count	control_3_3 Spectral Count	control_4_4 Spectral Count	control_5_5 Spectral Count	control_6_6 Spectral Count	control_7_7 Spectral Count	control_8_8 Spectral Count	control_9_9 Spectral Count	control_10_10 Unique Spectral Count	control_1_1 Unique Spectral Count	control_2_2 Unique Spectral Count	control_3_3 Unique Spectral Count	control_4_4 Unique Spectral Count	control_5_5 Unique Spectral Count	control_6_6 Unique Spectral Count	control_7_7 Unique Spectral Count	control_8_8 Unique Spectral Count	control_9_9 Unique Spectral Count	control_10_10 Total Spectral Count	control_1_1 Total Spectral Count	control_2_2 Total Spectral Count	control_3_3 Total Spectral Count	control_4_4 Total Spectral Count	control_5_5 Total Spectral Count	control_6_6 Total Spectral Count	control_7_7 Total Spectral Count	control_8_8 Total Spectral Count	control_9_9 Total Spectral Count	control_10_10 Intensity	control_1_1 Intensity	control_2_2 Intensity	control_3_3 Intensity	control_4_4 Intensity	control_5_5 Intensity	control_6_6 Intensity	control_7_7 Intensity	control_8_8 Intensity	control_9_9 Intensity	control_10_10 MaxLFQ Intensity	control_1_1 MaxLFQ Intensity	control_2_2 MaxLFQ Intensity	control_3_3 MaxLFQ Intensity	control_4_4 MaxLFQ Intensity	control_5_5 MaxLFQ Intensity	control_6_6 MaxLFQ Intensity	control_7_7 MaxLFQ Intensity	control_8_8 MaxLFQ Intensity	control_9_9 MaxLFQ Intensity	Indistinguishable Proteins
sp|P01877|IGHA2_HUMAN	P01877	IGHA2_HUMAN	IGHA2	391	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin heavy constant alpha 2	0.9997	0.999	5	6	6	45	0	1	0	0	1	0	1	1	1	1	0	1	0	0	1	0	1	1	1	1	4	5	4	4	5	3	5	5	5	5	5918291.5	3222446.5	2197626.5	1960736.2	4795068.0	1377716.8	8960165.0	3094816.2	8675634.0	5349782.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P02452|CO1A1_HUMAN	P02452	CO1A1_HUMAN	COL1A1	1464	Homo sapiens	1:Experimental evidence at protein level	Collagen alpha-1(I) chain	1.0	0.999	9	36	36	36	7	2	5	4	2	4	4	3	2	3	7	2	5	4	2	4	4	3	2	3	7	2	5	4	2	4	4	3	2	3	5017203.0	4707667.5	4746567.0	2759049.0	3409924.0	4131378.5	5443259.0	3843415.5	3876419.2	3774465.0	3092904.8	2517891.8	2909358.8	2206750.8	2361867.8	2898594.5	3790981.2	2827920.2	2197839.2	2603343.5	
sp|P02461|CO3A1_HUMAN	P02461	CO3A1_HUMAN	COL3A1	1466	Homo sapiens	1:Experimental evidence at protein level	Collagen alpha-1(III) chain	1.0	0.9983	3	4	4	4	1	0	1	0	0	2	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1	0	1	0	0	2	0	0	0	0	1803905.9	1434532.2	696244.06	1383024.2	1391408.0	1502456.8	1589274.9	1349097.8	347768.56	719483.5	871872.56	693222.56	480599.94	511203.53	690126.56	650637.2	739648.75	811116.2	0.0	485296.25	
sp|P02511|CRYAB_HUMAN	P02511	CRYAB_HUMAN	CRYAB	175	Homo sapiens	1:Experimental evidence at protein level	Alpha-crystallin B chain	0.46	0.9786	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0	128444.46	0.0	0.0	0.0	274289.44	0.0	382605.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P02545|LMNA_HUMAN	P02545	LMNA_HUMAN	LMNA	664	Homo sapiens	1:Experimental evidence at protein level	Prelamin-A/C	1.0	0.9972	4	9	9	9	3	0	0	2	0	4	0	0	0	0	3	0	0	2	0	4	0	0	0	0	3	0	0	2	0	4	0	0	0	0	2247387.8	288427.44	178916.0	1145465.2	545600.3	2196164.5	578124.6	958935.3	1346390.1	384512.2	912615.25	167989.28	0.0	465166.3	345527.9	861183.75	227520.64	396219.5	568834.6	243434.92	
sp|P02647|APOA1_HUMAN	P02647	APOA1_HUMAN	APOA1	267	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein A-I	1.0	0.999	28	359	359	359	40	32	38	35	38	32	35	34	38	37	40	32	38	35	38	32	35	34	38	37	40	32	38	35	38	32	35	34	38	37	7.0410822E8	6.3127091E8	7.7675091E8	4.48889536E8	4.323576E8	6.018409E8	6.1357709E8	8.1232435E8	8.1345677E8	5.6526541E8	3.58482688E8	1.84280944E8	2.99980992E8	1.8672072E8	2.71848448E8	2.34101376E8	2.5261464E8	3.20393632E8	4.08965888E8	2.5185104E8	
sp|P02649|APOE_HUMAN	P02649	APOE_HUMAN	APOE	317	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein E	1.0	0.999	26	318	318	318	33	33	31	36	30	33	31	32	25	34	33	33	31	36	30	33	31	32	25	34	33	33	31	36	30	33	31	32	25	34	1.9921056E8	5.16651712E8	5.5583334E8	6.6126387E8	4.71674912E8	5.4528909E8	5.9568154E8	2.79529344E8	3.03910368E8	4.49076512E8	8.7962624E7	1.7702328E8	2.16843664E8	2.57040992E8	1.92172272E8	2.13797232E8	2.4102552E8	1.14577496E8	1.1918212E8	1.7508032E8	
sp|P02652|APOA2_HUMAN	P02652	APOA2_HUMAN	APOA2	100	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein A-II	1.0	0.999	6	59	59	59	7	5	6	6	4	6	6	6	7	6	7	5	6	6	4	6	6	6	7	6	7	5	6	6	4	6	6	6	7	6	1.77123472E8	9.6223632E7	1.2938368E8	1.24159888E8	1.34961488E8	1.65589936E8	1.14138648E8	1.76965024E8	2.57993552E8	1.07635096E8	1.1421572E8	5.5195172E7	7.7327872E7	7.7188488E7	9.0675376E7	9.8598784E7	7.1532416E7	1.159804E8	1.09881712E8	6.8881464E7	
sp|P02654|APOC1_HUMAN	P02654	APOC1_HUMAN	APOC1	83	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein C-I	1.0	0.999	5	48	48	48	6	5	5	6	4	5	4	5	4	4	6	5	5	6	4	5	4	5	4	4	6	5	5	6	4	5	4	5	4	4	2.7492244E7	1.5225942E7	2.1130324E7	1.3771664E7	2.4561876E7	2.1566478E7	1.7420522E7	2.5457688E7	2.126843E7	2.7950538E7	1.249858E7	5662938.0	8853090.0	6019064.5	1.0612224E7	8482365.0	7529159.0	1.0158518E7	7767487.0	1.21007E7	
sp|P02655|APOC2_HUMAN	P02655	APOC2_HUMAN	APOC2	101	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein C-II	1.0	0.999	3	17	17	17	2	1	1	2	1	2	1	3	1	3	2	1	1	2	1	2	1	3	1	3	2	1	1	2	1	2	1	3	1	3	7075132.0	3143126.0	2770063.8	2482876.2	4700130.0	5463368.0	3561331.2	4218237.5	3610822.0	5781680.5	4990730.5	2210793.0	1922081.9	1716489.1	3101692.8	3848561.8	2475844.8	3045925.0	2506044.5	3817991.0	
sp|P02656|APOC3_HUMAN	P02656	APOC3_HUMAN	APOC3	99	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein C-III	1.0	0.999	3	28	28	28	2	3	3	3	3	2	3	3	3	3	2	3	3	3	3	2	3	3	3	3	2	3	3	3	3	2	3	3	3	3	2.6219046E7	1.6133657E7	2.1258776E7	1.6205735E7	2.5212476E7	2.7827542E7	1.7590248E7	2.0474104E7	1.9237704E7	2.8098938E7	1.5208606E7	8447560.0	1.2003122E7	9269814.0	1.4638242E7	1.4843012E7	9740298.0	1.1550614E7	1.0590579E7	1.6392192E7	
sp|P02671|FIBA_HUMAN	P02671	FIBA_HUMAN	FGA	866	Homo sapiens	1:Experimental evidence at protein level	Fibrinogen alpha chain	1.0	0.999	24	173	173	173	23	13	20	23	15	16	12	16	13	22	23	13	20	23	15	16	12	16	13	22	23	13	20	23	15	16	12	16	13	22	2.6520732E7	9191048.0	1.6266719E7	2.3841116E7	2.3005122E7	1.999902E7	1.1191378E7	2.2275074E7	2.1970362E7	2.6322708E7	1.1329747E7	4305000.0	6837910.0	8879497.0	9414642.0	7520356.0	4304434.0	9438050.0	1.0331691E7	1.1191539E7	
sp|P02675|FIBB_HUMAN	P02675	FIBB_HUMAN	FGB	491	Homo sapiens	1:Experimental evidence at protein level	Fibrinogen beta chain	1.0	0.999	20	166	166	166	19	16	20	18	16	14	13	13	17	20	19	16	20	18	16	14	13	13	17	20	19	16	20	18	16	14	13	13	17	20	4.0303224E7	9520725.0	3.2229332E7	2.7744528E7	1.9649808E7	1.5147938E7	9426174.0	2.8096848E7	1.8248248E7	2.106598E7	1.4310118E7	7145734.0	1.0405786E7	1.2337754E7	1.2015612E7	1.0192083E7	6167287.5	1.056913E7	1.6007666E7	1.3549472E7	
sp|P02679|FIBG_HUMAN	P02679	FIBG_HUMAN	FGG	453	Homo sapiens	1:Experimental evidence at protein level	Fibrinogen gamma chain	1.0	0.999	18	147	147	147	15	15	17	22	13	16	4	13	14	18	15	15	17	22	13	16	4	13	14	18	15	15	17	22	13	16	4	13	14	18	3.0364644E7	1.9044838E7	2.6529504E7	2.974039E7	2.4842946E7	2.4823608E7	1.32253E7	2.4842466E7	3.1754406E7	3.058074E7	1.3991746E7	8616398.0	1.0331971E7	1.1806512E7	1.186707E7	9403513.0	6081870.0	1.1471529E7	1.5245314E7	1.4045994E7	
sp|P02745|C1QA_HUMAN	P02745	C1QA_HUMAN	C1QA	245	Homo sapiens	1:Experimental evidence at protein level	Complement C1q subcomponent subunit A	1.0	0.9987	3	15	15	15	1	2	2	2	1	1	2	2	1	1	1	2	2	2	1	1	2	2	1	1	1	2	2	2	1	1	2	2	1	1	2930694.5	6586501.0	4586172.5	3835816.0	2644352.0	2135990.5	5633176.5	3638325.8	6028025.0	5022054.0	1740418.2	2594952.8	2396910.8	2686254.2	2175613.2	1631578.4	3282624.5	2880976.5	2324200.8	3833515.0	
sp|P02746|C1QB_HUMAN	P02746	C1QB_HUMAN	C1QB	253	Homo sapiens	1:Experimental evidence at protein level	Complement C1q subcomponent subunit B	1.0	0.999	6	39	39	39	5	4	5	4	3	3	3	3	3	6	5	4	5	4	3	3	3	3	3	6	5	4	5	4	3	3	3	3	3	6	7822694.0	1.3268154E7	1.0786916E7	1.129931E7	1.1239973E7	6049691.0	1.4547803E7	9871510.0	1.1007002E7	1.5881902E7	5071705.0	6925287.0	6886482.0	7599145.5	6787211.0	4480931.0	8636368.0	6157512.5	5069447.5	1.0023751E7	
sp|P02747|C1QC_HUMAN	P02747	C1QC_HUMAN	C1QC	245	Homo sapiens	1:Experimental evidence at protein level	Complement C1q subcomponent subunit C	1.0	0.999	3	22	22	22	3	2	1	3	3	2	2	3	1	2	3	2	1	3	3	2	2	3	1	2	3	2	1	3	3	2	2	3	1	2	1.2242967E7	1.815761E7	1.5463745E7	1.4904159E7	1.3869732E7	1.0711697E7	2.1413022E7	1.2499396E7	1.344632E7	2.0405748E7	4952292.0	8260921.0	6527209.0	6184950.0	5464693.0	4498541.0	8777367.0	5068950.0	5815572.5	8396661.0	
sp|P02748|CO9_HUMAN	P02748	CO9_HUMAN	C9	559	Homo sapiens	1:Experimental evidence at protein level	Complement component C9	1.0	0.999	14	112	105	112	11	10	9	13	11	11	13	13	7	14	10	9	9	12	10	11	12	12	7	13	11	10	9	13	11	11	13	13	7	14	1.0889415E7	1.170159E7	9306997.0	9372679.0	1.3628272E7	1.0089474E7	1.384671E7	1.590895E7	1.8865854E7	1.3395204E7	4365775.0	3353187.8	3820400.5	3941554.2	5646316.5	3581086.5	6122659.5	6752931.0	5546217.0	7275770.0	
sp|P02749|APOH_HUMAN	P02749	APOH_HUMAN	APOH	345	Homo sapiens	1:Experimental evidence at protein level	Beta-2-glycoprotein 1	1.0	0.9984	7	62	62	62	6	5	8	7	6	5	6	7	6	6	6	5	8	7	6	5	6	7	6	6	6	5	8	7	6	5	6	7	6	6	4.4736824E7	2.4869096E7	3.1850008E7	4.1636904E7	4.9581972E7	4.7796148E7	4.1671944E7	4.6740788E7	4.2200576E7	4.996824E7	1.856691E7	8365625.5	1.2804948E7	1.6854352E7	2.0298282E7	1.9328254E7	1.6751757E7	1.9152386E7	1.611372E7	2.0666006E7	
sp|P02750|A2GL_HUMAN	P02750	A2GL_HUMAN	LRG1	347	Homo sapiens	1:Experimental evidence at protein level	Leucine-rich alpha-2-glycoprotein	1.0	0.999	12	80	80	80	10	8	8	8	7	8	6	9	9	7	10	8	8	8	7	8	6	9	9	7	10	8	8	8	7	8	6	9	9	7	1.5598308E7	1.3664274E7	1.6539362E7	1.0278868E7	2.0910158E7	2.1093502E7	1.2545032E7	1.58132E7	2.3432926E7	2.1891804E7	7048517.0	4762324.5	5884083.5	3859659.5	7882856.5	9415050.0	5274182.5	6817947.0	8979984.0	9100762.0	
sp|P02751|FINC_HUMAN	P02751	FINC_HUMAN	FN1	2477	Homo sapiens	1:Experimental evidence at protein level	Fibronectin	1.0	0.999	62	449	449	449	37	51	56	61	38	46	49	37	29	45	37	51	56	61	38	46	49	37	29	45	37	51	56	61	38	46	49	37	29	45	1.6455568E7	3.441642E7	3.5275072E7	4.0672912E7	2.2029536E7	2.6755508E7	2.9462172E7	1.8410724E7	1.7148524E7	1.871104E7	6908418.5	1.4316602E7	1.1637178E7	1.5057274E7	9486599.0	1.0079971E7	1.1268189E7	7231152.5	8536314.0	8818584.0	
sp|P02753|RET4_HUMAN	P02753	RET4_HUMAN	RBP4	201	Homo sapiens	1:Experimental evidence at protein level	Retinol-binding protein 4	1.0	0.999	5	47	47	47	6	4	6	6	3	6	4	4	3	5	6	4	6	6	3	6	4	4	3	5	6	4	6	6	3	6	4	4	3	5	1.6546038E7	1.8565952E7	1.5701163E7	1.6871716E7	1.5728786E7	1.6507031E7	1.2293224E7	1.4679232E7	3.1727658E7	1.50302E7	9074858.0	1.0327697E7	8234914.5	8834285.0	7662774.5	8582321.0	6261454.5	7837492.5	1.8312264E7	7720092.0	
sp|P02760|AMBP_HUMAN	P02760	AMBP_HUMAN	AMBP	352	Homo sapiens	1:Experimental evidence at protein level	Protein AMBP	1.0	0.9989	4	35	35	35	3	5	3	5	2	4	2	4	3	4	3	5	3	5	2	4	2	4	3	4	3	5	3	5	2	4	2	4	3	4	1.4589574E7	1.3676575E7	1.1715783E7	1.563408E7	1.381829E7	1.860789E7	1.0602009E7	1.182819E7	2.33557E7	1.3412756E7	5807701.0	6422710.0	5220106.0	6041369.5	5115355.0	6491568.0	4635221.5	6088891.0	1.2167515E7	5889768.5	
sp|P02763|A1AG1_HUMAN	P02763	A1AG1_HUMAN	ORM1	201	Homo sapiens	1:Experimental evidence at protein level	Alpha-1-acid glycoprotein 1	1.0	0.999	9	112	91	112	12	11	11	10	11	11	11	11	12	12	9	9	9	8	9	9	9	9	10	10	12	11	11	10	11	11	11	11	12	12	1.76973248E8	3.41692352E8	1.6459072E8	1.96359312E8	2.63379568E8	2.73259136E8	9.4619136E7	2.4828048E8	3.1925376E8	2.5766968E8	9.8100232E7	1.47187184E8	6.6522944E7	7.5346432E7	9.9434992E7	1.54265472E8	6.6583268E7	1.10264768E8	1.2870476E8	1.04057856E8	
sp|P02765|FETUA_HUMAN	P02765	FETUA_HUMAN	AHSG	367	Homo sapiens	1:Experimental evidence at protein level	Alpha-2-HS-glycoprotein	1.0	0.999	3	51	51	51	6	6	6	4	5	5	5	5	4	5	6	6	6	4	5	5	5	5	4	5	6	6	6	4	5	5	5	5	4	5	1.75939408E8	1.01950384E8	1.44575616E8	1.39173888E8	1.58326368E8	1.16928712E8	1.08332712E8	1.44768304E8	1.00060936E8	9.2470368E7	6.6972696E7	4.761418E7	7.5180872E7	5.1225424E7	6.8542016E7	5.1080612E7	4.674016E7	5.950466E7	5.460638E7	3.9087844E7	
sp|P02766|TTHY_HUMAN	P02766	TTHY_HUMAN	TTR	147	Homo sapiens	1:Experimental evidence at protein level	Transthyretin	1.0	0.999	8	120	120	120	13	13	13	10	12	12	12	12	10	13	13	13	13	10	12	12	12	12	10	13	13	13	13	10	12	12	12	12	10	13	7.1836552E7	1.76463728E8	1.71766576E8	8.9257872E7	1.03010336E8	1.18688856E8	2.01724912E8	1.03591816E8	8.2013552E7	1.12929384E8	5.2355648E7	9.1803912E7	8.5717312E7	4.0698756E7	5.6531408E7	5.8441924E7	9.874436E7	5.430878E7	4.8528428E7	6.1886624E7	
sp|P02768|ALBU_HUMAN	P02768	ALBU_HUMAN	ALB	609	Homo sapiens	1:Experimental evidence at protein level	Albumin	1.0	0.999	46	425	372	425	45	40	42	45	41	46	42	41	41	42	39	35	37	39	36	40	37	36	36	37	45	40	42	45	41	46	42	41	41	42	1.49247334E9	2.88768717E9	4.8496179E9	1.24592742E9	1.16263772E10	1.4770282E7	1.43996252E10	1.42779814E9	4.9909381E9	3.80868019E9	3.23194138E9	2.65910349E9	2.48417946E9	2.5154391E9	3.09989478E9	2.48443827E9	3.4415593E9	3.1139159E9	4.8328417E9	2.68141645E9	
sp|P02774|VTDB_HUMAN	P02774	VTDB_HUMAN	GC	474	Homo sapiens	1:Experimental evidence at protein level	Vitamin D-binding protein	1.0	0.999	16	159	159	159	20	17	18	14	14	14	14	16	15	17	20	17	18	14	14	14	14	16	15	17	20	17	18	14	14	14	14	16	15	17	9.971728E7	5.4679408E7	1.05474096E8	1.00258528E8	1.1044136E8	1.09007104E8	8.339752E7	1.00313408E8	1.05193984E8	9.647136E7	5.5647244E7	2.9307964E7	4.1422216E7	3.0916244E7	4.00406E7	4.2413104E7	3.0893118E7	3.651394E7	4.5473324E7	3.419576E7	
sp|P02787|TRFE_HUMAN	P02787	TRFE_HUMAN	TF	698	Homo sapiens	1:Experimental evidence at protein level	Serotransferrin	1.0	0.999	27	409	409	409	43	40	41	42	39	43	41	41	40	39	43	40	41	42	39	43	41	41	40	39	43	40	41	42	39	43	41	41	40	39	8.1874835E8	1.0395607E9	1.34186842E9	7.954215E8	9.693184E8	1.02720736E9	1.25374426E9	1.01440256E9	1.09109261E9	9.0666522E8	3.97563232E8	4.12149856E8	5.00165728E8	3.42015072E8	3.83589696E8	3.79194016E8	5.17681152E8	3.90656992E8	4.1610976E8	3.36969792E8	
sp|P02790|HEMO_HUMAN	P02790	HEMO_HUMAN	HPX	462	Homo sapiens	1:Experimental evidence at protein level	Hemopexin	1.0	0.999	16	186	166	186	21	19	18	18	19	16	19	18	19	19	19	17	16	16	17	14	17	16	17	17	21	19	18	18	19	16	19	18	19	19	2.37737296E8	2.01734784E8	2.01642512E8	1.96837632E8	2.39141568E8	2.82573408E8	2.29137312E8	1.68906416E8	3.3335552E8	1.1410456E8	1.13450808E8	9.8734168E7	9.9224456E7	8.2144928E7	1.19501288E8	1.04006976E8	1.12499448E8	8.604992E7	1.42986176E8	1.0858432E8	
sp|P03952|KLKB1_HUMAN	P03952	KLKB1_HUMAN	KLKB1	638	Homo sapiens	1:Experimental evidence at protein level	Plasma kallikrein	1.0	0.9981	10	29	29	29	8	1	1	3	2	6	1	2	2	3	8	1	1	3	2	6	1	2	2	3	8	1	1	3	2	6	1	2	2	3	3989911.0	1489716.6	1884911.0	1789496.8	2896047.0	3528547.5	1714235.8	3298717.8	3527237.2	2490824.8	1779657.0	705908.06	787081.25	812739.0	1211202.0	1586721.0	755902.7	1459194.4	1653656.9	1119014.6	
sp|P04003|C4BPA_HUMAN	P04003	C4BPA_HUMAN	C4BPA	597	Homo sapiens	1:Experimental evidence at protein level	C4b-binding protein alpha chain	0.8421	0.9965	1	5	5	5	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	0	1	0	0	1	0	1	1	1	1035628.9	194272.19	272102.62	365139.94	331488.25	1015515.4	0.0	839161.3	1427377.8	577677.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P04004|VTNC_HUMAN	P04004	VTNC_HUMAN	VTN	478	Homo sapiens	1:Experimental evidence at protein level	Vitronectin	1.0	0.999	6	53	53	53	4	7	6	6	4	5	4	8	3	6	4	7	6	6	4	5	4	8	3	6	4	7	6	6	4	5	4	8	3	6	1.090143E7	1.0311904E7	9733516.0	1.2343768E7	1.8352296E7	9688523.0	8084282.5	2.09399E7	1.3541825E7	1.2986443E7	5274325.5	5285439.0	4825383.5	5392609.5	8341781.0	4425913.0	3468073.5	9362050.0	7323031.0	6407531.5	
sp|P04066|FUCO_HUMAN	P04066	FUCO_HUMAN	FUCA1	466	Homo sapiens	1:Experimental evidence at protein level	Tissue alpha-L-fucosidase	1.0	0.9903	4	7	7	7	0	0	3	1	0	2	1	0	0	0	0	0	3	1	0	2	1	0	0	0	0	0	3	1	0	2	1	0	0	0	288510.0	1096356.1	1402379.1	890163.75	1122486.8	1675395.0	1245582.0	578585.94	0.0	217446.98	230917.88	675199.44	611579.1	385357.8	542285.0	807272.0	604487.5	309039.28	0.0	168954.42	
sp|P04075|ALDOA_HUMAN	P04075	ALDOA_HUMAN	ALDOA	364	Homo sapiens	1:Experimental evidence at protein level	Fructose-bisphosphate aldolase A	1.0	0.999	13	70	7	70	5	6	7	11	6	11	8	4	5	7	0	1	1	2	0	1	1	0	0	1	5	6	7	11	6	11	8	4	5	7	7195994.0	3398984.0	3701878.5	7464147.0	5243386.0	9601388.0	5431200.5	4108673.0	5775315.5	5020120.5	2545373.5	1844505.4	1746070.5	3273026.2	2129860.8	3686636.0	2478197.0	1870390.4	2475264.0	2412515.2	
sp|P04085|PDGFA_HUMAN	P04085	PDGFA_HUMAN	PDGFA	211	Homo sapiens	1:Experimental evidence at protein level	Platelet-derived growth factor subunit A	0.6816	0.9914	1	2	2	2	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	731781.6	894562.3	821635.5	538372.44	0.0	515168.47	808464.6	0.0	0.0	455320.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P04156|PRIO_HUMAN	P04156	PRIO_HUMAN	PRNP	253	Homo sapiens	1:Experimental evidence at protein level	Major prion protein	1.0	0.999	9	64	64	64	5	6	11	8	8	5	5	5	3	8	5	6	11	8	8	5	5	5	3	8	5	6	11	8	8	5	5	5	3	8	1.3700204E7	1.810737E7	2.3153316E7	3.190481E7	2.1417012E7	2.6339428E7	2.4172996E7	1.1742597E7	1.2389716E7	1.8286412E7	9358480.0	8454323.0	1.3142877E7	2.1570858E7	1.6096027E7	1.5353049E7	1.3149748E7	9319417.0	7095295.0	1.3625315E7	
sp|P04180|LCAT_HUMAN	P04180	LCAT_HUMAN	LCAT	440	Homo sapiens	1:Experimental evidence at protein level	Phosphatidylcholine-sterol acyltransferase	1.0	0.999	4	19	19	19	2	3	2	2	2	2	2	1	0	3	2	3	2	2	2	2	2	1	0	3	2	3	2	2	2	2	2	1	0	3	1629397.1	7672450.0	3443310.5	3906004.5	4330364.0	3400819.8	4317059.5	2414111.0	4907366.0	5294284.0	912110.5	3044298.5	1920943.8	2148426.5	1926725.5	1536815.2	1637465.8	1351722.9	2709785.0	2028073.8	
sp|P04196|HRG_HUMAN	P04196	HRG_HUMAN	HRG	525	Homo sapiens	1:Experimental evidence at protein level	Histidine-rich glycoprotein	1.0	0.999	13	109	109	109	14	11	12	11	13	9	8	12	9	10	14	11	12	11	13	9	8	12	9	10	14	11	12	11	13	9	8	12	9	10	4.0164784E7	4.428262E7	4.0721688E7	2.5870716E7	3.6270952E7	3.0843184E7	2.1056876E7	4.1872696E7	5.6009816E7	2.2692176E7	1.7660672E7	1.3771716E7	1.4907298E7	1.0544822E7	1.7665646E7	1.0091349E7	9527986.0	1.6819068E7	1.879116E7	1.1023622E7	
sp|P04211|LV743_HUMAN	P04211	LV743_HUMAN	IGLV7-43	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin lambda variable 7-43	1.0	0.9986	3	19	1	19	3	1	2	2	2	2	2	2	1	2	1	0	0	0	0	0	0	0	0	0	3	1	2	2	2	2	2	2	1	2	1.3718529E7	3316625.0	5504905.5	3122196.5	9418798.0	6278174.0	1.240003E7	2727629.5	7890375.0	8685668.0	7773488.5	1891885.8	3161062.2	1828757.6	5277305.5	3546022.8	6581989.5	1601215.2	4206772.5	5105153.5	
sp|P04216|THY1_HUMAN	P04216	THY1_HUMAN	THY1	161	Homo sapiens	1:Experimental evidence at protein level	Thy-1 membrane glycoprotein	1.0	0.999	3	29	29	29	3	3	4	4	2	3	3	2	2	3	3	3	4	4	2	3	3	2	2	3	3	3	4	4	2	3	3	2	2	3	1.4058186E7	2.908233E7	2.4921386E7	3.4500084E7	1.216966E7	2.8798256E7	1.5541413E7	9401078.0	1.24989E7	1.3311021E7	8790035.0	1.5218099E7	1.3963685E7	1.8524392E7	7603842.5	1.7170112E7	9611508.0	5364292.0	8261063.5	8726947.0	
sp|P04217|A1BG_HUMAN	P04217	A1BG_HUMAN	A1BG	495	Homo sapiens	1:Experimental evidence at protein level	Alpha-1B-glycoprotein	1.0	0.999	12	148	148	148	16	15	15	15	14	15	13	15	15	15	16	15	15	15	14	15	13	15	15	15	16	15	15	15	14	15	13	15	15	15	8.1005264E7	6.2057016E7	5.7001144E7	5.1796596E7	6.8596952E7	8.2080688E7	5.3824224E7	6.0183464E7	9.5334896E7	5.5869888E7	3.6226432E7	2.348911E7	2.1207044E7	2.03739E7	3.1243218E7	2.8321624E7	2.199225E7	2.782036E7	3.9228964E7	2.501298E7	
sp|P04264|K2C1_HUMAN	P04264	K2C1_HUMAN	KRT1	644	Homo sapiens	1:Experimental evidence at protein level	Keratin, type II cytoskeletal 1	1.0	0.9988	12	13	11	13	13	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	3695331.8	217239.44	137100.02	76682.49	509509.5	166312.92	359216.5	274692.8	449473.12	458410.56	2211439.0	130378.34	0.0	91778.58	207181.25	205147.16	223401.28	0.0	521865.7	272894.28	
sp|P04278|SHBG_HUMAN	P04278	SHBG_HUMAN	SHBG	402	Homo sapiens	1:Experimental evidence at protein level	Sex hormone-binding globulin	1.0	0.9966	2	3	3	3	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	1144057.6	809620.8	442889.56	251737.53	0.0	0.0	382205.5	2048106.8	1392549.8	806593.3	645308.06	449740.78	0.0	0.0	0.0	0.0	0.0	1177435.1	797877.06	461430.6	
sp|P04406|G3P_HUMAN	P04406	G3P_HUMAN	GAPDH	335	Homo sapiens	1:Experimental evidence at protein level	Glyceraldehyde-3-phosphate dehydrogenase	1.0	0.999	8	28	23	28	4	1	3	7	1	6	1	1	1	3	3	1	2	5	1	5	1	1	1	3	4	1	3	7	1	6	1	1	1	3	1.5718304E7	6178555.0	6298289.0	1.379699E7	7823845.0	2.00986E7	6141684.0	6513652.5	1.1857771E7	6668224.0	6484493.5	3485499.5	3416885.8	7151797.0	4304852.5	8706204.0	3391270.5	4583628.5	6609423.5	3706655.8	
sp|P04430|KV116_HUMAN	P04430	KV116_HUMAN	IGKV1-16	117	Homo sapiens	1:Experimental evidence at protein level	Immunoglobulin kappa variable 1-16	1.0	0.999	2	5	5	5	2	1	0	0	0	0	1	0	0	1	2	1	0	0	0	0	1	0	0	1	2	1	0	0	0	0	1	0	0	1	4398155.5	2915660.0	0.0	113897.22	567983.56	544786.4	2176235.5	618578.2	2441726.2	2144693.0	2748237.2	1784690.0	0.0	0.0	0.0	341905.12	1217522.8	0.0	1525467.9	1352861.6	
